trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.2, 'e': 0.5246625421065929}",25,0,-173.12145285453425,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
130,False,"{'a': 0.2, 'e': 0.522045776761016}",25,4,-96.46704109622948,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 2}",1
131,False,"{'a': 0.2, 'e': 0.5194420625870482}",25,0,-120.09691714119685,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
132,False,"{'a': 0.2, 'e': 0.5168513344916992}",20,12,-29.716952671217367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.2, 'e': 0.5142735277066319}",20,0,-54.1123479219992,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.5117085777865424}",25,15,-3.8444218555292275,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.5091564206075492}",25,17,-40.41670980202324,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.2, 'e': 0.5066169923655895}",20,0,-35.256969121925074,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.2, 'e': 0.5040902295748255}",20,0,-59.681913178290095,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
138,False,"{'a': 0.2, 'e': 0.5015760690660555}",20,0,-73.20928887900128,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
139,False,"{'a': 0.2, 'e': 0.49907444798513595}",20,0,-34.41480784983778,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.2, 'e': 0.49658530379140947}",25,8,-25.90579965048589,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.4941085742561417}",25,14,-35.926397372399116,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.2, 'e': 0.4916441974609651}",25,0,-33.30817110169298,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
143,False,"{'a': 0.2, 'e': 0.48919211179633154}",20,0,-23.426108389561747,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
144,False,"{'a': 0.2, 'e': 0.4867522559599717}",25,0,-60.662946519888656,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
145,False,"{'a': 0.2, 'e': 0.48432456895536247}",25,0,-59.1170290295701,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.48190899009020244}",30,0,-48.197882773565986,"{0: 24, 1: 4, 2: 0, 3: 1, 4: 1}",0
147,False,"{'a': 0.2, 'e': 0.4795054589748941}",25,4,-16.154760979433433,"{0: 14, 1: 6, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.4771139155210344}",25,2,-77.91671017968831,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
149,False,"{'a': 0.2, 'e': 0.4747342999399124}",20,0,-7.356559327724127,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
150,False,"{'a': 0.2, 'e': 0.4723665527410147}",20,2,-66.3874380946168,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
151,False,"{'a': 0.2, 'e': 0.47001061473053796}",25,0,-62.106933907854376,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
152,False,"{'a': 0.2, 'e': 0.46766642700990924}",20,14,4.9446880294502416,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.4653339309743134}",25,0,-56.06158916521883,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
